,Date,Open,Close,Change (%)
284,2018-01-03,14.6,14.14,-1.81%
285,2018-01-02,14.6,14.4,+0.00%
286,2018-01-01,14.6,14.4,+0.00%
287,2017-12-29,14.6,14.4,-0.69%
288,2017-12-28,14.4,14.5,+1.12%
289,2017-12-27,14.3,14.34,+0.42%
290,2017-12-26,14.1,14.28,+0.00%
291,2017-12-25,14.1,14.28,+0.00%
292,2017-12-22,14.1,14.28,+1.28%
293,2017-12-21,14.2,14.1,-0.42%
294,2017-12-20,14.2,14.16,-0.28%
295,2017-12-19,14.1,14.2,+0.71%
296,2017-12-18,13.9,14.1,+1.73%
297,2017-12-15,14.28,13.86,-2.67%
298,2017-12-14,14.3,14.24,+0.00%
299,2017-12-13,14.22,14.24,+0.14%
300,2017-12-12,14.68,14.22,-3.27%
301,2017-12-11,14.58,14.7,+2.65%
302,2017-12-08,14.48,14.32,+0.42%
303,2017-12-07,14.06,14.26,+1.57%
304,2017-12-06,14.28,14.04,-2.5%
305,2017-12-05,14.2,14.4,+1.27%
306,2017-12-04,14.5,14.22,-5.45%
307,2017-12-01,15.04,15.04,+0.00%
308,2017-11-30,14.4,15.04,+0.00%
309,2017-11-29,14.4,15.04,+4.30%
310,2017-11-28,15.1,14.42,-4.5%
311,2017-11-27,15.0,15.1,+3.85%
312,2017-11-24,14.54,14.54,+0.00%
313,2017-11-23,14.5,14.54,+0.41%
314,2017-11-22,14.64,14.48,-0.96%
315,2017-11-21,14.7,14.62,+0.27%
316,2017-11-20,14.6,14.58,+0.55%
317,2017-11-17,14.6,14.5,-0.68%
318,2017-11-16,14.6,14.6,+1.25%
319,2017-11-15,15.1,14.42,-4.5%
320,2017-11-14,15.24,15.1,+0.00%
321,2017-11-13,15.6,15.1,-2.58%
322,2017-11-10,15.5,15.5,+0.00%
323,2017-11-09,15.5,15.5,+0.13%
324,2017-11-08,15.7,15.48,-1.4%
325,2017-11-08,15.7,15.48,-1.4%
326,2017-11-07,15.8,15.7,-0.63%
327,2017-11-06,15.54,15.8,+1.28%
328,2017-11-03,15.8,15.6,-0.64%
329,2017-11-02,15.62,15.7,+2.35%
330,2017-11-01,15.5,15.34,+0.00%
331,2017-10-31,15.5,15.34,+0.00%
332,2017-10-30,15.5,15.34,-2.17%
333,2017-10-27,15.3,15.68,+2.89%
334,2017-10-26,15.52,15.24,-1.8%
335,2017-10-25,15.6,15.52,-0.26%
336,2017-10-24,15.52,15.56,-0.26%
337,2017-10-23,15.6,15.6,+0.00%
338,2017-10-20,15.8,15.6,-1.27%
339,2017-10-19,15.84,15.8,-0.25%
340,2017-10-18,16.2,15.84,-1%
341,2017-10-17,16.26,16.0,+0.00%
342,2017-10-16,16.28,16.0,+0.00%
343,2017-10-13,16.28,16.0,-1.72%
344,2017-10-12,16.46,16.28,-0.12%
345,2017-10-11,16.0,16.3,+3.82%
346,2017-10-10,15.92,15.7,-0.38%
347,2017-10-09,15.82,15.76,-0.25%
348,2017-10-06,15.92,15.8,+0.00%
349,2017-10-05,15.76,15.8,+0.64%
350,2017-10-04,15.76,15.7,+0.26%
351,2017-10-03,15.68,15.66,-0.13%
352,2017-10-02,15.56,15.68,+0.51%
353,2017-09-29,15.68,15.6,-0.64%
354,2017-09-28,15.76,15.7,-0.13%
355,2017-09-27,15.7,15.72,+0.13%
356,2017-09-26,15.78,15.7,-0.63%
357,2017-09-25,15.9,15.8,-0.63%
358,2017-09-22,15.88,15.9,+0.13%
359,2017-09-21,15.9,15.88,-0.13%
360,2017-09-20,15.82,15.9,-0.13%
361,2017-09-19,16.26,15.92,-0.75%
362,2017-09-18,16.5,16.04,-2.91%
363,2017-09-15,16.66,16.52,-0.48%
364,2017-09-14,16.4,16.6,+1.97%
365,2017-09-13,16.1,16.28,+1.75%
366,2017-09-12,15.78,16.0,+0.00%
367,2017-09-11,15.78,16.0,+1.52%
368,2017-09-08,15.6,15.76,+1.03%
369,2017-09-07,15.6,15.6,+0.00%
370,2017-09-06,15.32,15.6,+1.30%
371,2017-09-05,15.44,15.4,-0.26%
372,2017-09-04,15.7,15.44,-1.66%
373,2017-09-01,15.3,15.7,+0.00%
374,2017-08-31,15.3,15.7,+2.21%
375,2017-08-30,15.32,15.36,-0.9%
376,2017-08-29,15.8,15.5,-1.02%
377,2017-08-28,15.9,15.66,+0.00%
378,2017-08-25,15.9,15.66,-0.89%
379,2017-08-24,15.72,15.8,+0.51%
380,2017-08-23,15.76,15.72,-0.13%
381,2017-08-22,15.78,15.74,+0.90%
382,2017-08-21,15.8,15.6,+0.00%
383,2017-08-18,15.8,15.6,-0.64%
384,2017-08-17,15.88,15.7,-1.26%
385,2017-08-16,15.96,15.9,+0.00%
386,2017-08-15,15.88,15.9,+0.25%
387,2017-08-14,15.88,15.86,+1.15%
388,2017-08-11,15.88,15.68,-0.76%
389,2017-08-10,15.58,15.8,+1.41%
390,2017-08-09,15.8,15.58,-1.14%
391,2017-08-08,15.8,15.76,+0.64%
392,2017-08-07,15.66,15.66,+0.00%
393,2017-08-07,15.66,15.66,+0.00%
394,2017-08-04,15.6,15.66,+0.38%
395,2017-08-03,15.5,15.6,+0.65%
396,2017-08-02,16.0,15.5,-3.13%
397,2017-08-01,16.3,16.0,-0.62%
398,2017-07-31,16.1,16.1,+0.50%
399,2017-07-28,15.96,16.02,+1.14%
400,2017-07-27,15.78,15.84,+0.38%
401,2017-07-26,15.7,15.78,+1.15%
402,2017-07-25,15.84,15.6,-1.89%
403,2017-07-24,15.68,15.9,+1.92%
404,2017-07-21,15.46,15.6,+0.91%
405,2017-07-20,15.76,15.46,+1.44%
406,2017-07-19,15.24,15.24,+0.00%
407,2017-07-18,15.3,15.24,+0.26%
408,2017-07-17,15.12,15.2,+0.66%
409,2017-07-14,15.2,15.1,+0.00%
410,2017-07-13,15.0,15.1,+1.07%
411,2017-07-12,14.6,14.94,+2.61%
412,2017-07-11,14.52,14.56,+0.28%
413,2017-07-10,14.7,14.52,-1.22%
414,2017-07-07,14.8,14.7,-0.27%
415,2017-07-06,14.56,14.74,+1.66%
416,2017-07-05,14.5,14.5,+0.00%
417,2017-07-04,14.34,14.5,+1.40%
418,2017-07-03,14.2,14.3,+1.42%
419,2017-06-30,14.4,14.1,-1.67%
420,2017-06-29,14.6,14.34,-1.78%
421,2017-06-28,14.64,14.6,+0.00%
422,2017-06-27,14.72,14.6,-0.27%
423,2017-06-26,14.7,14.64,+0.00%
424,2017-06-23,14.7,14.64,+0.55%
425,2017-06-22,14.52,14.56,+0.28%
426,2017-06-21,14.62,14.52,+0.00%
427,2017-06-20,14.64,14.52,-0.82%
428,2017-06-19,14.46,14.64,+1.53%
429,2017-06-16,14.54,14.42,-0.83%
430,2017-06-15,14.9,14.54,-2.42%
431,2017-06-14,14.62,14.9,+2.76%
432,2017-06-13,14.74,14.5,+0.00%
433,2017-06-12,14.2,14.5,+0.00%
434,2017-06-09,14.2,14.5,+2.11%
435,2017-06-08,14.68,14.2,-2.74%
436,2017-06-07,14.16,14.6,+3.55%
437,2017-06-06,14.0,14.1,+1.29%
438,2017-06-05,13.7,13.92,+1.90%
439,2017-06-02,13.38,13.66,+1.64%
440,2017-06-01,13.44,13.44,+0.00%
441,2017-05-31,13.34,13.44,+0.60%
442,2017-05-30,13.42,13.36,-0.45%
443,2017-05-29,13.38,13.42,+0.15%
444,2017-05-26,13.44,13.4,-0.15%
445,2017-05-25,13.5,13.42,-0.59%
446,2017-05-24,13.5,13.5,-0.15%
447,2017-05-23,13.4,13.52,+1.20%
448,2017-05-22,13.24,13.36,+0.91%
449,2017-05-19,13.22,13.24,+0.00%
450,2017-05-18,13.32,13.24,-0.6%
451,2017-05-17,13.28,13.32,+1.06%
452,2017-05-16,13.28,13.18,+0.15%
453,2017-05-15,13.16,13.16,+0.30%
454,2017-05-12,13.2,13.12,-0.3%
455,2017-05-11,13.16,13.16,-0.15%
456,2017-05-11,13.16,13.16,-0.15%
457,2017-05-10,13.26,13.18,+0.00%
458,2017-05-09,13.3,13.18,-0.6%
459,2017-05-08,13.2,13.26,+0.15%
460,2017-05-05,13.2,13.24,+1.07%
461,2017-05-04,12.96,13.1,+1.08%
462,2017-05-03,12.96,12.96,-0.31%
463,2017-05-02,12.96,13.0,+1.09%
464,2017-05-01,13.04,12.86,+0.00%
465,2017-04-28,13.04,12.86,+0.00%
466,2017-04-27,13.04,12.86,-1.08%
467,2017-04-26,13.12,13.0,+0.00%
468,2017-04-25,12.72,13.0,+3.17%
469,2017-04-24,12.78,12.6,-1.41%
470,2017-04-21,12.24,12.78,+4.24%
471,2017-04-20,11.9,12.26,+3.20%
472,2017-04-19,11.88,11.88,+0.68%
473,2017-04-18,11.94,11.8,-3.28%
474,2017-04-17,12.18,12.2,+0.33%
475,2017-04-14,12.1,12.16,+0.00%
476,2017-04-13,12.1,12.16,+0.00%
477,2017-04-12,12.1,12.16,+1.16%
478,2017-04-11,12.1,12.02,-0.66%
479,2017-04-10,12.06,12.1,+0.83%
480,2017-04-07,11.92,12.0,+0.00%
